Kod,Nazwa,emisja ogółem na km2;2021;[t],ogółem;2021;[-],nakłady inwestycyjne w przedsiębiorstwach na 1 mieszkańca;2021;[zł],poszkodowani w wypadkach przy pracy na 1000 pracujących ogółem;2021;[osoba],współczynnik skolaryzacji netto;szkoły podstawowe;2021;[%],ogółem;2021;[%],ogółem;2021;[zł]
1607000,Powiat nyski,"367,67","3,9",6299,"6,99","90,14","8,4","5053,60"
1608000,Powiat oleski,"22,79","4,7",2353,"4,36","94,91","4,6","4916,44"
1609000,Powiat opolski,"210,69","3,6",2151,"5,21","86,55","6,7","5101,21"
1610000,Powiat prudnicki,"32,40","4,5",1737,"4,62","93,97","9,1","4808,55"
1611000,Powiat strzelecki,"119,79","4,0",4470,"8,70","94,10","4,6","5238,85"
1661000,Powiat m. Opole,"75935,80","4,2",9954,"6,42","106,37","3,2","6011,09"
1801000,Powiat bieszczadzki,"20,60","4,1",1209,"6,38","88,19","17,3","5297,99"
1802000,Powiat brzozowski,"1,33","4,8",973,"6,19","92,10","22,3","4619,14"
1803000,Powiat dębicki,"103,75","4,8",5911,"5,42","91,70","5,3","5047,12"
1804000,Powiat jarosławski,"173,61","4,4",5706,"4,67","90,58","13,3","4926,98"
1805000,Powiat jasielski,"199,00","4,6",1922,"5,76","90,99","14,1","4953,43"
1806000,Powiat kolbuszowski,"61,40","4,5",2008,"2,73","83,80","9,4","4624,19"
1807000,Powiat krośnieński,"43,80","4,3",1523,"3,27","85,77","7,8","4432,75"
1808000,Powiat leżajski,"243,30","4,4",1698,"3,90","89,34","17,4","4829,48"
1809000,Powiat lubaczowski,"0,43","4,4",1094,"4,36","88,01","12,4","4600,59"
1810000,Powiat łańcucki,"97,87","4,0",6386,"4,21","91,77","12,3","4735,69"
1811000,Powiat mielecki,"240,98","4,5",5004,"3,27","92,62","5,1","5233,93"
1813000,Powiat przemyski,"0,08","4,7",7001,"3,49","75,02","20,5","4472,14"
1814000,Powiat przeworski,"5,82","4,9",4366,"5,47","92,66","15,9","4697,54"
1815000,Powiat ropczycko-sędziszowski,"113,82","4,6",1801,"3,36","91,75","13,1","4730,10"
1816000,Powiat rzeszowski,"36,65","4,6",5164,"4,66","86,60","9,8","4995,32"
1817000,Powiat sanocki,"58,82","3,9",6306,"5,52","88,06","7,4","4903,78"
1818000,Powiat stalowowolski,"203,18","4,1",3902,"4,26","91,55","5,6","5263,24"
1820000,Powiat tarnobrzeski,"61,71","3,5",2533,"4,80","82,67","9,0","5181,79"
1821000,Powiat leski,"0,09","4,7",2178,"4,77","86,63","19,6","5247,07"
1861000,Powiat m. Krosno,"2678,89","3,7",5283,"4,88","111,52","2,4","4981,20"
1862000,Powiat m. Przemyśl,"1795,96","3,6",3826,"5,27","109,84","11,0","5100,21"
1863000,Powiat m. Rzeszów,"4186,53","4,7",6493,"4,90","108,35","4,9","6072,54"
1864000,Powiat m. Tarnobrzeg,"758,09","3,9",1362,"4,39","100,28","8,9","5062,44"
2001000,Powiat augustowski,"28,13","4,2",2196,"5,40","90,83","10,0","5452,84"
2002000,Powiat białostocki,"59,58","4,3",3042,"6,61","71,04","9,5","4979,46"
2003000,Powiat bielski,"15,43","4,3",3670,"13,84","90,34","4,4","6292,55"
2004000,Powiat grajewski,"348,49","4,0",3472,"5,75","88,66","12,8","5526,33"
2005000,Powiat hajnowski,"37,92","3,7",3331,"12,83","88,86","8,2","5821,15"
2006000,Powiat kolneński,"22,59","4,5",2312,"4,12","89,91","18,2","4825,66"
2007000,Powiat łomżyński,"20,39","4,7",4075,"7,18","80,17","5,7","5432,47"
2008000,Powiat moniecki,"23,79","4,7",589,"3,69","84,51","8,5","4979,24"
2009000,Powiat sejneński,"4,04","4,2",2536,"2,53","83,13","12,3","4537,00"
2010000,Powiat siemiatycki,"10,10","4,4",4170,"10,47","87,24","6,8","4834,47"
2011000,Powiat sokólski,"17,25","4,6",4020,"6,33","86,15","12,3","4968,42"
2013000,Powiat wysokomazowiecki,"61,52","5,0",11161,"3,50","89,68","7,3","5395,07"
2014000,Powiat zambrowski,"225,18","3,7",5288,"3,86","90,28","7,3","5085,38"
2061000,Powiat m. Białystok,"8870,68","4,3",3710,"5,58","113,27","6,1","5650,97"
2062000,Powiat m. Łomża,"2616,97","4,2",5208,"6,80","104,75","6,8","5352,29"
2063000,Powiat m. Suwałki,"2749,11","4,5",3321,"7,62","100,47","5,1","4966,63"
2201000,Powiat bytowski,"18,37","4,9",3322,"6,66","89,79","9,1","5373,68"
2202000,Powiat chojnicki,"23,49","4,9",2559,"7,48","93,92","8,5","4805,13"
2203000,Powiat człuchowski,"14,03","3,5",2053,"9,68","88,43","11,5","5002,55"
